Класс,Название команды,Номер задачи,Статус задачи
5,1543-5-1 (Москва),1,1
5,1543-5-1 (Москва),2,1
5,1543-5-1 (Москва),3,1
5,1543-5-1 (Москва),4,0
5,1543-5-1 (Москва),5,0
5,1543-5-1 (Москва),6,1
5,1543-5-1 (Москва),7,0
5,1543-5-1 (Москва),8,1
5,ШЦПМ-5 (Москва),1,1
5,ШЦПМ-5 (Москва),2,1
5,ШЦПМ-5 (Москва),3,1
5,ШЦПМ-5 (Москва),4,0
5,ШЦПМ-5 (Москва),5,0
5,ШЦПМ-5 (Москва),6,1
5,ШЦПМ-5 (Москва),7,1
5,ШЦПМ-5 (Москва),8,0
5,Новаторы 5А (Москва),1,1
5,Новаторы 5А (Москва),2,1
5,Новаторы 5А (Москва),3,1
5,Новаторы 5А (Москва),4,0
5,Новаторы 5А (Москва),5,1
5,Новаторы 5А (Москва),6,0
5,Новаторы 5А (Москва),7,0
5,Новаторы 5А (Москва),8,0
5,ФТЛ-5 (Долгопрудный),1,1
5,ФТЛ-5 (Долгопрудный),2,0
5,ФТЛ-5 (Долгопрудный),3,1
5,ФТЛ-5 (Долгопрудный),4,1
5,ФТЛ-5 (Долгопрудный),5,0
5,ФТЛ-5 (Долгопрудный),6,1
5,ФТЛ-5 (Долгопрудный),7,0
5,ФТЛ-5 (Долгопрудный),8,0
5,Орден Пи (Москва),1,1
5,Орден Пи (Москва),2,1
5,Орден Пи (Москва),3,0
5,Орден Пи (Москва),4,0
5,Орден Пи (Москва),5,0
5,Орден Пи (Москва),6,1
5,Орден Пи (Москва),7,0
5,Орден Пи (Москва),8,0
5,1543-5-2 (Москва),1,1
5,1543-5-2 (Москва),2,1
5,1543-5-2 (Москва),3,1
5,1543-5-2 (Москва),4,0
5,1543-5-2 (Москва),5,0
5,1543-5-2 (Москва),6,0
5,1543-5-2 (Москва),7,0
5,1543-5-2 (Москва),8,0
5,Москва 1210-5-1,1,1
5,Москва 1210-5-1,2,1
5,Москва 1210-5-1,3,0
5,Москва 1210-5-1,4,0
5,Москва 1210-5-1,5,0
5,Москва 1210-5-1,6,1
5,Москва 1210-5-1,7,0
5,Москва 1210-5-1,8,0
5,Москва 1210-5-2,1,1
5,Москва 1210-5-2,2,1
5,Москва 1210-5-2,3,1
5,Москва 1210-5-2,4,0
5,Москва 1210-5-2,5,0
5,Москва 1210-5-2,6,0
5,Москва 1210-5-2,7,0
5,Москва 1210-5-2,8,0
5,Новаторы 5Б (Москва),1,1
5,Новаторы 5Б (Москва),2,1
5,Новаторы 5Б (Москва),3,1
5,Новаторы 5Б (Москва),4,0
5,Новаторы 5Б (Москва),5,0
5,Новаторы 5Б (Москва),6,0
5,Новаторы 5Б (Москва),7,0
5,Новаторы 5Б (Москва),8,0
4,Новаторы 4 (Москва),1,1
4,Новаторы 4 (Москва),2,1
4,Новаторы 4 (Москва),3,1
4,Новаторы 4 (Москва),4,1
4,Новаторы 4 (Москва),5,0
4,Новаторы 4 (Москва),6,0
4,Новаторы 4 (Москва),7,1
4,Новаторы 4 (Москва),8,0
4,КМЦ-4-Баунти (Казань),1,1
4,КМЦ-4-Баунти (Казань),2,1
4,КМЦ-4-Баунти (Казань),3,1
4,КМЦ-4-Баунти (Казань),4,1
4,КМЦ-4-Баунти (Казань),5,0
4,КМЦ-4-Баунти (Казань),6,0
4,КМЦ-4-Баунти (Казань),7,0
4,КМЦ-4-Баунти (Казань),8,0
4,Тюмень-4-НП,1,1
4,Тюмень-4-НП,2,1
4,Тюмень-4-НП,3,1
4,Тюмень-4-НП,4,0
4,Тюмень-4-НП,5,0
4,Тюмень-4-НП,6,0
4,Тюмень-4-НП,7,1
4,Тюмень-4-НП,8,0
4,Фрактал 4-2 (СПб),1,1
4,Фрактал 4-2 (СПб),2,1
4,Фрактал 4-2 (СПб),3,1
4,Фрактал 4-2 (СПб),4,0
4,Фрактал 4-2 (СПб),5,0
4,Фрактал 4-2 (СПб),6,0
4,Фрактал 4-2 (СПб),7,1
4,Фрактал 4-2 (СПб),8,0
4,3>4 (Казань),1,1
4,3>4 (Казань),2,0
4,3>4 (Казань),3,1
4,3>4 (Казань),4,0
4,3>4 (Казань),5,0
4,3>4 (Казань),6,0
4,3>4 (Казань),7,1
4,3>4 (Казань),8,0
4,Бобры (СПб),1,1
4,Бобры (СПб),2,1
4,Бобры (СПб),3,0
4,Бобры (СПб),4,0
4,Бобры (СПб),5,0
4,Бобры (СПб),6,0
4,Бобры (СПб),7,1
4,Бобры (СПб),8,0
4,Вершина 4 (Ижевск),1,1
4,Вершина 4 (Ижевск),2,1
4,Вершина 4 (Ижевск),3,1
4,Вершина 4 (Ижевск),4,0
4,Вершина 4 (Ижевск),5,0
4,Вершина 4 (Ижевск),6,0
4,Вершина 4 (Ижевск),7,0
4,Вершина 4 (Ижевск),8,0
4,КМЦ-4-Сникерс (Казань),1,1
4,КМЦ-4-Сникерс (Казань),2,1
4,КМЦ-4-Сникерс (Казань),3,0
4,КМЦ-4-Сникерс (Казань),4,0
4,КМЦ-4-Сникерс (Казань),5,0
4,КМЦ-4-Сникерс (Казань),6,0
4,КМЦ-4-Сникерс (Казань),7,1
4,КМЦ-4-Сникерс (Казань),8,0
4,Ураган (СПб),1,1
4,Ураган (СПб),2,1
4,Ураган (СПб),3,0
4,Ураган (СПб),4,0
4,Ураган (СПб),5,0
4,Ураган (СПб),6,0
4,Ураган (СПб),7,1
4,Ураган (СПб),8,0
4,Фрактал 4-1 (СПб),1,1
4,Фрактал 4-1 (СПб),2,1
4,Фрактал 4-1 (СПб),3,1
4,Фрактал 4-1 (СПб),4,0
4,Фрактал 4-1 (СПб),5,0
4,Фрактал 4-1 (СПб),6,0
4,Фрактал 4-1 (СПб),7,0
4,Фрактал 4-1 (СПб),8,0